fold,it,train_loss,mse_optim,mse_test
3, 20, 0.551163, 0.485400, 0.002294
3, 21, 0.376407, 0.353159, 0.003170
3, 22, 0.184922, 0.203147, 0.004296
3, 23, 0.285079, 0.232097, 0.005705
3, 24, 0.298186, 0.262701, 0.007384
3, 25, 0.131938, 0.139940, 0.009006
3, 26, 0.225285, 0.213114, 0.010788
3, 27, 0.234440, 0.247909, 0.012502
3, 28, 0.211316, 0.229730, 0.014166
3, 29, 0.130111, 0.123280, 0.015683
3, 30, 0.255950, 0.222132, 0.017052
3, 31, 0.287015, 0.274650, 0.018414
3, 32, 0.399372, 0.337366, 0.019919
3, 33, 0.157923, 0.152576, 0.021325
3, 34, 0.077452, 0.090186, 0.022687
3, 35, 0.163701, 0.180431, 0.024325
3, 36, 0.138503, 0.127986, 0.026142
3, 37, 0.199270, 0.181723, 0.027843
3, 38, 0.175328, 0.138427, 0.029780
3, 39, 0.229921, 0.202799, 0.032037
3, 40, 0.256825, 0.202805, 0.034015
3, 41, 0.217944, 0.162632, 0.036227
3, 42, 0.120451, 0.103096, 0.038776
3, 43, 0.131043, 0.092688, 0.041491
3, 44, 0.274005, 0.238006, 0.044053
3, 45, 0.110067, 0.076797, 0.046724
3, 46, 0.153756, 0.107621, 0.048563
3, 47, 0.201388, 0.162613, 0.049739
3, 48, 0.158852, 0.122095, 0.050329
3, 49, 0.230495, 0.143002, 0.049656
4, 0, 0.864791, 0.833662, 0.359448
4, 1, 0.754860, 0.730420, 0.306355
4, 2, 0.512958, 0.522093, 0.246831
4, 3, 0.545759, 0.596733, 0.191008
4, 4, 0.437086, 0.396933, 0.144024
4, 5, 0.364691, 0.246809, 0.110408
4, 6, 0.315151, 0.346758, 0.081196
4, 7, 0.636223, 0.604968, 0.059385
4, 8, 0.351805, 0.392729, 0.041966
4, 9, 0.534329, 0.477188, 0.031322
4, 10, 0.580481, 0.499601, 0.021850
4, 11, 0.477478, 0.346694, 0.015342
4, 12, 0.412917, 0.409694, 0.010346
4, 13, 0.242898, 0.201950, 0.006214
4, 14, 0.293022, 0.189782, 0.004255
4, 15, 0.170421, 0.157435, 0.003704
4, 16, 0.396710, 0.263357, 0.004599
4, 17, 0.227369, 0.167675, 0.006734
4, 18, 0.285708, 0.163458, 0.010362
4, 19, 0.189903, 0.140238, 0.017454
4, 20, 0.293027, 0.230455, 0.025625
4, 21, 0.315956, 0.214659, 0.035909
4, 22, 0.194588, 0.187577, 0.045399
4, 23, 0.190769, 0.229925, 0.055592
4, 24, 0.178763, 0.104123, 0.065310
4, 25, 0.366524, 0.296509, 0.072237
4, 26, 0.240442, 0.131405, 0.080182
4, 27, 0.330651, 0.208996, 0.084478
4, 28, 0.174260, 0.124758, 0.088016
4, 29, 0.105487, 0.134109, 0.086333
4, 30, 0.215445, 0.187178, 0.082234
4, 31, 0.335494, 0.183991, 0.081596
4, 32, 0.069338, 0.052935, 0.079617
4, 33, 0.147305, 0.117921, 0.072269
4, 34, 0.117222, 0.109338, 0.061467
4, 35, 0.146750, 0.186895, 0.053691
4, 36, 0.148046, 0.153318, 0.045710
4, 37, 0.172824, 0.127495, 0.039462
4, 38, 0.111622, 0.129367, 0.032287
4, 39, 0.191786, 0.154844, 0.026808
4, 40, 0.167548, 0.156463, 0.026036
4, 41, 0.334847, 0.240381, 0.028451
4, 42, 0.271920, 0.181265, 0.030622
4, 43, 0.147120, 0.099090, 0.028995
4, 44, 0.222424, 0.124208, 0.029512
4, 45, 0.175100, 0.103421, 0.028336
4, 46, 0.171104, 0.168184, 0.025934
5, 0, 0.678208, 0.610027, 0.415462
5, 1, 0.814488, 0.921306, 0.360580
5, 2, 0.785506, 0.846202, 0.322418
5, 3, 0.771070, 0.779455, 0.280162
5, 4, 0.807895, 0.961020, 0.240293
5, 5, 0.495805, 0.520338, 0.204446
5, 6, 0.295428, 0.372469, 0.171432
5, 7, 0.633114, 0.631031, 0.144127
5, 8, 0.778026, 0.775643, 0.123162
5, 9, 0.429626, 0.481247, 0.105531
5, 10, 0.679653, 0.640687, 0.088981
5, 11, 0.479176, 0.378547, 0.074640
5, 12, 0.431642, 0.317472, 0.062427
5, 13, 0.371119, 0.350810, 0.050121
5, 14, 0.397146, 0.350946, 0.039142
5, 15, 0.518000, 0.467348, 0.028920
5, 16, 0.234983, 0.192796, 0.021480
5, 17, 0.231349, 0.169185, 0.016037
5, 18, 0.305698, 0.249215, 0.011697
5, 19, 0.430019, 0.374104, 0.008470
5, 20, 0.308754, 0.276169, 0.006027
5, 21, 0.429269, 0.397361, 0.004401
5, 22, 0.290371, 0.226554, 0.003238
5, 23, 0.143513, 0.072781, 0.002454
5, 24, 0.212842, 0.240543, 0.001893
5, 25, 0.475569, 0.414246, 0.001526
5, 26, 0.192914, 0.159284, 0.001366
5, 27, 0.169825, 0.117344, 0.001398
5, 28, 0.116282, 0.114526, 0.001563
